108
70	0.053
219	0.041
955	0.077
1052	0.048
1069	0.291
1210	0.137
1654	0.027
1885	0.049
2043	0.070
2118	0.036
2148	0.087
2237	0.097
2350	0.081
3099	0.096
3210	0.106
3325	0.041
3390	0.076
3526	0.066
3596	0.032
3600	0.079
3702	0.075
3769	0.061
3837	0.070
4358	0.053
4529	0.081
4702	0.096
4926	0.064
5047	0.048
5178	0.062
5183	0.079
5390	0.039
5409	0.088
5427	0.032
5541	0.054
5632	0.048
5744	0.059
6032	0.108
6110	0.149
6160	0.082
6264	0.085
6482	0.074
6520	0.106
6575	0.031
6586	0.042
6673	0.051
6724	0.089
6901	0.224
7040	0.071
7364	0.307
7378	0.077
7528	0.035
7757	0.096
7780	0.137
7848	0.028
8201	0.216
8230	0.055
8267	0.075
8596	0.040
8630	0.056
8850	0.127
8924	0.030
8998	0.017
9001	0.039
9004	0.131
9135	0.052
9200	0.097
9251	0.040
9303	0.132
9335	0.053
9422	0.066
9552	0.138
9683	0.099
9807	0.120
9876	0.101
10408	0.074
10424	0.076
10426	0.124
10637	0.127
10644	0.090
10668	0.084
10806	0.105
11067	0.074
11168	0.054
11209	0.051
11256	0.092
11270	0.127
11324	0.249
11349	0.066
11497	0.058
11658	0.131
11790	0.049
11865	0.047
11895	0.067
11936	0.060
11995	0.160
12002	0.057
12125	0.030
12238	0.131
12711	0.057
12857	0.058
12922	0.058
12949	0.120
12969	0.026
13048	0.046
13165	0.060
13169	0.050
13180	0.074
13313	0.052
